FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
316,254,Agnetankuja,Agnetagränden,Agnetankuja,Laivalahdenkaari 24,Båtviksbågen 24,Helsinki,Helsingfors,CityBike Finland,16,25.0365006704004,60.1872113545226
317,255,Laivalahden puistotie,Båtsviksallén,Laivalahden puistotie,Laivalahden puistotie 10,Båtsvikallén 10,Helsinki,Helsingfors,CityBike Finland,16,25.0313242435417,60.1879616987442
318,256,Herttoniemenranta,Hertonäs strand,Herttoniemenranta,Paasivaarankatu 1,Paasivaaragatan 1,Helsinki,Helsingfors,CityBike Finland,14,25.0261074895481,60.1902241266005
319,257,Margareetankuja,Margaretagränden,Margareetankuja,Margareetankuja 4,Margaretagränden 4,Helsinki,Helsingfors,CityBike Finland,14,25.037226711038,60.191026757269
320,258,Abraham Wetterin tie,Abraham Wetters väg,Abraham Wetterin tie,Sorvaajankatu 1,Svarvaregatan 1,Helsinki,Helsingfors,CityBike Finland,16,25.0426533906377,60.1927662082632
321,259,Petter Wetterin tie,Petter Wetters väg,Petter Wetterin tie,Hitsaajankatu 16,Svetsargatan 16,Helsinki,Helsingfors,CityBike Finland,20,25.0310806077185,60.1931500074061
322,260,Herttoniemi (M),Hertonäs (M),Herttoniemi (M),Hiihtäjäntie 2,Skidlöparvägen 2,Helsinki,Helsingfors,CityBike Finland,24,25.0289074357313,60.1946246092333
323,261,Asentajanpuisto,Montörsparken,Asentajanpuisto,Asentajankatu 8,Montörsgatan 8,Helsinki,Helsingfors,CityBike Finland,16,25.0424582865293,60.1991534930025
324,262,Siilitie (M),Igelkottsvägen (M),Siilitie (M),Siilitie 2,Igelkottsvägen 2,Helsinki,Helsingfors,CityBike Finland,22,25.0451499077692,60.2059412914274
325,263,Herttoniemen kirkko,Hertonäs kyrka,Herttoniemi Church,Karhutie 11,Björnvägen 11,Helsinki,Helsingfors,CityBike Finland,16,25.0322254160114,60.198472102491
326,264,Eränkävijäntori,Jägartorget,Eränkävijäntori,Hiihtomäentie 39,Skidbacksvägen 39,Helsinki,Helsingfors,CityBike Finland,16,25.0336255327162,60.2045796306668
327,265,Siilitie 9,Igelkottsvägen 9,Siilitie 9,Siilitie 12,Igelkottsvägen 12,Helsinki,Helsingfors,CityBike Finland,16,25.0375268074419,60.2094531542983
328,266,Siilitie 13,Igelkottsvägen 13,Siilitie 13,Sopulirinne 2,Lemmelbrinken 2,Helsinki,Helsingfors,CityBike Finland,14,25.0438403800838,60.2150937055408
329,267,Roihupelto,Kasåkern,Roihupelto,Viilarintie 6,Filarvägen 6,Helsinki,Helsingfors,CityBike Finland,16,25.0550878014731,60.2093671318647
330,268,Porolahden koulu,Porovikens skola,Porolahti school,Roihuvuorentie 6b,Kasbergsvägen 6b,Helsinki,Helsingfors,CityBike Finland,18,25.053580944712,60.1955237434688
331,269,Peukaloisentie,Tummelitens väg,Peukaloisentie,Untuvaisentie 2,Dunungens väg 2,Helsinki,Helsingfors,CityBike Finland,12,25.0585469211705,60.1987082956995
332,270,Tulisuontie,Kaskärrsvägen,Tulisuontie,Roihuvuorentie 25,Kasbergsvägen 25,Helsinki,Helsingfors,CityBike Finland,16,25.0600755207066,60.2020741857322
333,271,Prinsessantie,Prinsessvägen,Prinsessantie,Prinsessantie 2,Prinsessvägen 2,Helsinki,Helsingfors,CityBike Finland,16,25.0598633466827,60.2062943222363
334,272,Marjaniementie,Maruddsvägen,Marjaniementie,Rakettipolku 5,Raketstigen 5,Helsinki,Helsingfors,CityBike Finland,16,25.0760693607079,60.2043248928675
335,273,Kauppakartanonkuja,Handelshusgränden,Kauppakartanonkuja,Kauppakartanonkatu 13,Handelshusgatan 13,Helsinki,Helsingfors,CityBike Finland,16,25.0791548137624,60.2070974617271
336,274,Voikukantie,Smörblommevägen,Voikukantie,Kauppakartanonkatu 10,Handelshusgatan 10,Helsinki,Helsingfors,CityBike Finland,16,25.0867813029404,60.2090159634351
337,275,Itäkeskus (M),Östra centrum (M),Itäkeskus (M),Tallinnanaukio 2,Revalsplanen 2,Helsinki,Helsingfors,CityBike Finland,28,25.075974443338,60.2096186298517
338,276,Puotinharju,Botbyhöjden,Puotinharju,Turunlinnantie 4,Åbohusvägen 4,Helsinki,Helsingfors,CityBike Finland,24,25.0824161004376,60.2125560347192
339,277,Marjaniemi,Marudd,Marjaniemi,Marjaniementie 23,Maruddsvägen 23,Helsinki,Helsingfors,CityBike Finland,14,25.0863443649104,60.2036199385051
340,278,Puotilantie,Botbygårdsvägen,Puotilantie,Puotilantie 4,Botbygårdsvägen 4,Helsinki,Helsingfors,CityBike Finland,14,25.1004180257132,60.2090787952165
341,279,Puotinkylän kartano,Botby gård,Puotinkylä Manor,Puotilantie 12,Botbygårdsvägen 12,Helsinki,Helsingfors,CityBike Finland,16,25.1062099916088,60.2125374502585
342,280,Puotilan ostoskeskus,Botby köpcentrum,Puotila shopping center,Klaavuntie 11,Klåvusvägen 11,Helsinki,Helsingfors,CityBike Finland,14,25.0955595128971,60.2127005724547
343,281,Puotila (M),Botby gård (M),Puotila (M),Vanhanlinnantori,Vanhalinnatorget,Helsinki,Helsingfors,CityBike Finland,20,25.0910915854205,60.2148243060291
344,282,Karhulantie,Karhulavägen,Karhulantie,Kiviportintie 2,Stenportsvägen 2,Helsinki,Helsingfors,CityBike Finland,12,25.1022019197015,60.2187064357628
345,283,Alakiventie,Understensvägen,Alakiventie,Alakiventie 4,Understensvägen 4,Helsinki,Helsingfors,CityBike Finland,14,25.0772822325583,60.21983979323
346,284,Myllypuro (M),Kvarnbäcken (M),Myllypuro (M),Kivensilmänkuja 1,Kvarnögsgränden 1,Helsinki,Helsingfors,CityBike Finland,28,25.075390168584,60.2240882638379
347,285,Orpaanporras,Lättan,Orpaanporras,Orpaanporras 14,Lättan 14,Helsinki,Helsingfors,CityBike Finland,14,25.0654178214227,60.2235488382376
348,286,Mamsellimyllynkatu,Mamsellskvarnsgatan,Mamsellimyllynkatu,Mamsellimyllynkatu 26,Mamsellkvarnsgatan 26,Helsinki,Helsingfors,CityBike Finland,16,25.059103072308,60.2182457850759
349,290,Vallilan varikko,Vallgårds depå,Vallilan varikko,Hämeentie 86,Tavastvägen 86,Helsinki,Helsingfors,CityBike Finland,20,24.9628231422152,60.1952459547863
350,291,Itäkeskus Metrovarikko,Östrä Centrum depå,Itäkeskus Metrovarikko,Metrovarikonkuja 6,Metrodepågränden 6,Helsinki,Helsingfors,CityBike Finland,18,25.065781819034,60.2114607435212
351,292,Koskelan varikko,Forsby depå,Koskelan varikko,Valtimontie 10,Valtimovägen 10,Helsinki,Helsingfors,CityBike Finland,16,24.969857119355,60.2125872995575
352,293,Korkeasaari,Högholmen,Korkeasaari,Mustikkamaanpolku 12,Blåbärslandsstigen 12,Helsinki,Helsingfors,CityBike Finland,16,24.9825269338027,60.1799061407845
